Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,salad bowl finish,83,1,0.0120,1.00,1.00,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,beeswax polish tin,86,2,0.0233,1.21,2.42,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,tung oil pure,1365,21,0.0154,1.19,24.97,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board oil walmart,640,8,0.0125,1.09,8.71,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,best oil for bamboo,684,12,0.0175,1.15,13.82,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,wood butter recipe,183,3,0.0164,1.01,3.02,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,mineral oil pharmacy,352,4,0.0114,1.42,5.66,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board stand,110,2,0.0182,1.32,2.64,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,epoxy resin food safe,43,1,0.0233,1.21,1.21,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,lemon oil furniture,255,5,0.0196,1.31,6.53,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,carnauba wax paste,136,2,0.0147,1.23,2.46,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,shellac food safe,1869,21,0.0112,1.06,22.24,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,wood sealer spray,768,12,0.0156,1.05,12.63,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,cutting board feet,212,4,0.0189,1.00,4.00,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,board cream,1848,24,0.0130,1.14,27.28,0.00,0.0000,0.00,0,0,0.0000
2026-08-01,Wood Care,USD,Wood Care - Auto,Auto - Loose Match,*,-,orange oil wood,53,1,0.0189,1.08,1.08,0.00,0.0000,0.00,0,0,0.0000
